"stretch_id","tollbooth_id_a","tollbooth_id_b","stretch_name",
904,194,196,"SAN MIGUEL - CUAUTITLAN (RETORNO)",
923,194,227,"SAN MIGUEL - LAGO DE GUADALUPE",
927,47,270,"LA VENTA - SAN MIGUEL",
927,44,270,,
928,211,270,"INTERLOMAS - SAN MIGUEL",
929,142,270,"BOSQUE REAL - SAN MIGUEL",
930,208,270,"HUIXQUILUCAN - SAN MIGUEL",
931,153,270,"CHAMAPA CAPUFE - SAN MIGUEL",
932,232,270,"LOMAS VERDES - SAN MIGUEL",
933,244,270,"NOPALA - SAN MIGUEL",
934,234,270,"MADIN - SAN MIGUEL",
935,133,270,"ATIZAPAN - SAN MIGUEL",
936,226,270,"LAGO DE GUADALUPE - SAN MIGUEL",
936,229,270,,
942,194,236,"SAN MIGUEL - MADIN",
942,194,1512,,
951,194,233,"SAN MIGUEL - LOMAS VERDES",
961,194,246,"SAN MIGUEL - NOPALA",
971,194,159,"SAN MIGUEL - CIPRESES",
978,194,154,"SAN MIGUEL - CHAMAPA CAPUFE",
990,194,142,"SAN MIGUEL - BOSQUE REAL",
1001,194,208,"SAN MIGUEL - HUIXQUILUCAN",
1012,194,211,"SAN MIGUEL - INTERLOMAS",
1024,194,46,"SAN MIGUEL - LA VENTA",
1079,1012,1026,"SAN JERÓNIMO - PICACHO",
1079,1077,1026,,
1079,1078,1026,,
1080,1012,,"SAN JERÓNIMO - STA. TERESA",
1080,1077,,,
1080,1078,,,
1081,1012,1025,"SAN JERÓNIMO - ESTADIO AZTECA",
1081,1077,1025,,
1081,1078,1025,,
1082,1012,1044,"SAN JERÓNIMO - VIADUCTO TLALPAN",
1082,1077,1044,,
1082,1078,1044,,
1083,,,"SAN JERÓNIMO - TEPEPAN",
1084,1012,996,"SAN JERÓNIMO - ENTRADA SUPERVIA PTE.",
1084,1077,996,,
1084,1078,996,,
1085,1012,1046,"SAN JERÓNIMO - CAMINERO",
1085,1077,1046,,
1085,1078,1046,,
1086,1012,1048,"SAN JERÓNIMO - CAMINERO BIS (INTERCONEXIÓN VET)",
1086,1077,1048,,
1086,1078,1048,,
1087,1013,1026,"BLVD DE LA LUZ - PICACHO",
1087,1076,1026,,
1088,1013,,"BLVD. DE LA LUZ  - STA. TERESA",
1088,1076,,,
1089,1013,1025,"BLVD. DE LA LUZ  - ESTADIO AZTECA",
1089,1076,1025,,
1090,1013,1044,"BLVD. DE LA LUZ  - VIADUCTO TLALPAN",
1090,1076,1044,,
1091,,,"BLVD. DE LA LUZ - TEPEPAN",
1092,1013,996,"BLVD. DE LA LUZ  - ENTRADA SUPERVIA PTE.",
1092,1076,996,,
1093,1013,1046,"BLVD. DE LA LUZ  - CAMINERO",
1093,1076,1046,,
1094,1013,1048,"BLVD. DE LA LUZ  - CAMINERO BIS (INTERCONEXIÓN VET)",
1094,1076,1048,,
1095,,,"L. CABRERA - PICACHO",
1096,,,"L. CABRERA - STA. TERESA",
1097,,,"L. CABRERA - ESTADIO AZTECA",
1098,,,"L. CABRERA - VIADUCTO TLALPAN",
1099,,,"L. CABRERA - TEPEPAN",
1100,,,"L. CABRERA - CAMINERO",
1101,,,"L. CABRERA - CAMINERO BIS (INTERCONEXIÓN VET)",
1102,1014,1025,"CUICUILCO - ESTADIO AZTECA",
1102,1075,1025,,
1103,1014,1044,"CUICUILCO - VIADUCTO TLALPAN",
1103,1075,1044,,
1104,,,"CUICUILCO - TEPEPAN",
1105,1014,1046,"CUICUILCO - CAMINERO",
1105,1075,1046,,
1106,1014,1048,"CUICUILCO - CAMINERO BIS (INTERCONEXIÓN VET)",
1106,1075,1048,,
1107,,,"TEPEPAN - PEDREGAL DEL SUR",
1108,,,"TEPEPAN - LUIS CABRERA",
1109,,,"TEPEPAN - BLVD. DE LA LUZ",
1110,,,"TEPEPAN - SAN JERÓNIMO",
1111,,,"VIADUCTO TLALPAN - PEDREGAL DEL SUR",
1112,,,"VIADUCTO TLALPAN - LUIS CABRERA",
1113,1015,1030,"VIADUCTO TLALPAN - BLVD. DE LA LUZ",
1113,1073,1030,,
1114,1015,1031,"VIADUCTO TLALPAN - SAN JERÓNIMO",
1114,1073,1031,,
1115,,,"CAMINERO - PEDREGAL DEL SUR",
1116,,,"CAMINERO - LUIS CABRERA",
1117,1045,1030,"CAMINERO  - BLVD. DE LA LUZ",
1117,1072,1030,,
1118,1045,1031,"CAMINERO - SAN JERÓNIMO",
1118,1072,1031,,
1119,,,"ESTADIO AZTECA - PEDREGAL DEL SUR",
1120,,,"ESTADIO AZTECA - LUIS CABRERA",
1121,1018,1030,"ESTADIO AZTECA - BLVD. DE LA LUZ",
1121,1074,1030,,
1122,1018,1031,"ESTADIO AZTECA - SAN JERÓNIMO",
1122,1074,1031,,
1123,,,"MONTAÑA - LUIS CABRERA",
1124,1020,1030,"MONTAÑA - BLVD. DE LA LUZ",
1124,1021,1030,,
1125,1020,1031,"MONTAÑA - SAN JERÓNIMO",
1125,1021,1031,,
1126,,,"P. PEDREGAL - LUIS CABRERA",
1127,1022,1030,"P. PEDREGAL - BLVD. DE LA LUZ",
1127,1023,1030,,
1128,1022,1031,"P. PEDREGAL - SAN JERÓNIMO",
1128,1023,1031,,
1129,1047,1031,"CAMINERO BIS (INTERCONEXIÓN VET) - SAN JERÓNIMO",
1130,1047,1030,"CAMINERO BIS (INTERCONEXIÓN VET) - BLVD DE LA LUZ",
1131,,,"CAMINERO BIS (INTERCONEXIÓN VET)- LUIS CABRERA",
1132,,,"CAMINERO BIS (INTERCONEXIÓN VET) - PEDREGAL DEL S.",
1133,1024,1048,"AUSUR BANOBRAS (VIADUCTO ELEVADO DE TLALPAN)",
1162,961,1043,"TEPALCAPA-ENT. AUT. URBANA NTE.",
1167,960,1043,"LÓPEZ PORTILLO (PERINORTE)-ENT. AUT. URBANA NTE.",
1172,959,1043,"LECHERÍA-ENT. AUT. URBANA NTE.",
1177,1526,1043,"LAGO DE GUADALUPE-ENT. AUT. URBANA NTE.",
1181,962,1043,"VALLE DORADO-ENT. AUT. URBANA NTE.",
1185,957,1043,"SANTA MÓNICA-ENT. AUT. URBANA NTE.",
1188,965,1043,"NAUCALLI-ENT. AUT. URBANA NTE.",
1191,956,1043,"LOMAS VERDES-ENT. AUT. URBANA NTE.",
1194,955,1043,"GUSTAVO BAZ-ENT. AUT. URBANA NTE.",
1196,1056,1043,"1° DE MAYO-ENT. AUT. URBANA NTE.",
1197,954,974,"ENT. AUT. URBANA NTE.-G.BAZ",
1198,954,966,"ENT. AUT. URBANA NTE.-LOMAS VERDES",
1199,954,967,"ENT. AUT. URBANA NTE.-CIRCUNVALACIÓN",
1200,954,968,"ENT. AUT. URBANA NTE.-SANTA MÓNICA",
1201,954,969,"ENT. AUT. URBANA NTE.-VALLE DORADO",
1202,954,970,"ENT. AUT. URBANA NTE.-L GPE.",
1203,954,971,"ENT. AUT. URBANA NTE.-LECHERÍA",
1204,954,960,"ENT. AUT. URBANA NTE.-LÓPEZ PORTILLO",
1205,954,963,"ENT. AUT. URBANA NTE.-TEPALCAPA",
1246,1043,1041,"VEB PTE.-CDI PTE.",
1247,1043,1040,"VEB PTE.-EJERCITO NACIONAL PTE.",
1248,1043,982,"VEB PTE.-PALMAS PTE.",
1249,1043,985,"VEB PTE.-REFORMA CENTRO",
1250,1043,983,"VEB PTE.-PARQUE PELVOUX",
1251,1043,987,"VEB PTE.-CONSTITUYENTES PTE.",
1252,1043,988,"VEB PTE.-MINERIA PTE.",
1253,1043,989,"VEB PTE.-SAN ANTONIO PTE.",
1254,1037,1040,"CDI PTE.-EJERCITO NACIONAL PTE.",
1254,1038,1040,,
1255,1037,982,"CDI PTE.-PALMAS PTE.",
1255,1038,982,,
1256,1037,985,"CDI PTE.-REFORMA CENTRO",
1256,1038,985,,
1257,1037,983,"CDI PTE.-PARQUE PELVOUX",
1257,1038,983,,
1258,1037,987,"CDI PTE.-CONSTITUYENTES PTE.",
1258,1038,987,,
1259,1037,988,"CDI PTE.-MINERIA PTE.",
1259,1038,988,,
1260,1037,989,"CDI PTE.-SAN ANTONIO PTE.",
1260,1038,989,,
1261,992,1040,"CONSCRIPTO PTE.-EJERCITO NACIONAL PTE.",
1262,992,982,"CONSCRIPTO PTE.-PALMAS PTE.",
1263,992,985,"CONSCRIPTO PTE.-REFORMA CENTRO",
1264,992,983,"CONSCRIPTO PTE.-PARQUE PELVOUX",
1265,992,987,"CONSCRIPTO PTE.-CONSTITUYENTES PTE.",
1266,992,988,"CONSCRIPTO PTE.-MINERIA PTE.",
1267,992,989,"CONSCRIPTO PTE.-SAN ANTONIO PTE.",
1268,981,982,"EJÉRCITO NACIONAL PTE.-PALMAS PTE.",
1269,981,985,"EJÉRCITO NACIONAL PTE.-REFORMA CENTRO",
1271,981,987,"EJÉRCITO NACIONAL PTE.-CONSTITUYENTES PTE",
1272,981,988,"EJÉRCITO NACIONAL PTE.-MINERIA PTE.",
1273,981,989,"EJÉRCITO NACIONAL PTE.-SAN ANTONIO PTE.",
1274,984,985,"PALMAS PTE.-REFORMA CENTRO",
1274,1062,985,,
1275,984,983,"PALMAS PTE.-PARQUE PELVOUX",
1275,1062,983,,
1276,984,987,"PALMAS PTE.-CONSTITUYENTES PTE.",
1276,1062,987,,
1277,984,988,"PALMAS PTE.-MINERIA PTE.",
1277,1062,988,,
1278,984,989,"PALMAS PTE.-SAN ANTONIO PTE.",
1278,1062,989,,
1279,986,987,"ROSARIO CASTELLANOS-CONSTITUYENTES PTE",
1280,986,988,"ROSARIO CASTELLANOS-MINERIA PTE.",
1281,986,989,"ROSARIO CASTELLANOS-SAN ANTONIO PTE.",
1282,978,987,"ALENCASTRE PTE.-CONSTITUYENTES PTE.",
1283,978,988,"ALENCASTRE PTE.-MINERIA PTE.",
1284,978,989,"ALENCASTRE PTE.-SAN ANTONIO PTE.",
1285,975,979,"SAN ANTONIO OTE.-ALENCASTRE OTE.",
1285,1063,979,,
1285,1064,979,,
1286,975,980,"SAN ANTONIO OTE.-CHAPULTEPEC / REFORMA OTE",
1286,1063,980,,
1286,1064,980,,
1287,975,1035,"SAN ANTONIO OTE.-CONSCRIPTO OTE.",
1287,1063,1035,,
1287,1064,1035,,
1288,975,1039,"SAN ANTONIO OTE.-CDI OTE.",
1288,1063,1039,,
1288,1064,1039,,
1289,975,954,"SAN ANTONIO OTE.-VEB OTE.",
1289,1063,954,,
1289,1064,954,,
1290,976,979,"SOSTENES ROCHA OTE.-ALENCASTRE OTE.",
1291,976,980,"SOSTENES ROCHA OTE.-CHAPULTEPEC/REFORMA OTE",
1292,976,1035,"SOSTENES ROCHA OTE.-CONSCRIPTO OTE.",
1293,976,1039,"SOSTENES ROCHA OTE.-CDI OTE.",
1294,976,954,"SOSTENES ROCHA OTE.-VEB OTE.",
1295,977,979,"CONSTITUYENTES OTE.-ALENCASTRE OTE.",
1296,977,980,"CONSTITUYENTES OTE.-CHAPULTEPEC / REFORMA OTE",
1297,977,1035,"CONSTITUYENTES OTE.-CONSCRIPTO OTE.",
1298,977,1039,"CONSTITUYENTES OTE.-CDI OTE.",
1299,977,954,"CONSTITUYENTES OTE.-VEB OTE.",
1300,1034,1035,"PARQUE MARTE OTE.-CONSCRIPTO OTE.",
1301,1034,1039,"PARQUE MARTE OTE.-CDI OTE.",
1302,1034,954,"PARQUE MARTE OTE.-VEB OTE.",
1303,993,1035,"EJÉRCITO NACIONAL OTE.-CONSCRIPTO OTE.",
1304,993,1039,"EJÉRCITO NACIONAL OTE.-CDI OTE.",
1305,993,954,"EJÉRCITO NACIONAL OTE.-VEB OTE.",
1306,1082,1096,"RÍO DE LOS REMEDIOS (TSN) - ALFREDO DEL MAZO (A)",
1309,1082,1089,"RÍO DE LOS REMEDIOS (TSN) - JARDINES DE MORELOS (B)",
1312,1081,1092,"RIO DE LOS REMEDIOS (D/E) - CIRCUITO EXTERIOR M. (B)",
1313,1081,1089,"RÍO DE LOS REMEDIOS (D/E) - JARDINES DE MORELOS (B)",
1315,1084,1092,"ALFREDO DEL MAZO (E) - CIRCUITO EXTERIOR M. (B)",
1316,1084,1089,"ALFREDO DEL MAZO (E) - JARDINES DE MORELOS (B)",
1320,1090,1095,"VENTA DE CARPIO - ALFREDO DEL MAZO (C)",
1321,1090,1097,"VENTA DE CARPIO - RÍO DE LOS REMEDIOS (TSN)",
1322,1090,1098,"VENTA DE CARPIO - RÍO DE LOS REMEDIOS (A)",
1324,1091,1095,"JARDINES DE MORELOS (A) - ALFREDO DEL MAZO (C)",
1325,1091,1097,"JARDINES DE MORELOS (A) - RÍO DE LOS REMEDIOS (TNS)",
1326,1091,1098,"JARDINES DE MORELOS (A) - RÍO DE LOS REMEDIOS (A)",
1328,1087,1095,"CIRCUITO EXTERIOR M. (A) - ALFREDO DEL MAZO (C)",
1335,1083,1098,"ALFREDO DEL MAZO (D) - RÍO DE LOS REMEDIOS (A)",
1378,867,867,"cd. mendoza-córdoba",
1379,867,867,"cd. mendoza-fortin",
1398,57,57,"tuxtla gutierrez-san pedro",
1431,,,"VILLA DE REYES - VILLA DE ARRIAGA",
1432,,,"VILLA DE ARRIAGA - VILLA DE REYES",
1435,,,"SAN LUIS POTOSÍ - VILLA DE REYES",
1436,,,"CEYLAN -CALZ. VALLEJO",
876,908,908,,"fix"
875,912,912,,"fix"
